date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:39	11164/11164	---M-Z	200	added ('OK')	text/html	etag:W/%225d3faa37-2b9c%22	https://jayshanmis.github.io/	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/index.html	(from )
16:00:39	37/37	---M--	200	added ('OK')	text/plain	etag:%225d3faa37-25%22	https://jayshanmis.github.io/robots.txt		(from )
16:00:40	9339/9339	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225cbe35bd-247b%22	https://jayshanmis.github.io/2018.sigbps.org	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/2018.sigbps.org	(from https://jayshanmis.github.io/)
16:00:40	16958/16958	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225d3faa33-423e%22	https://jayshanmis.github.io/img/favicons/favicon1.ico	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/img/favicons/favicon1.ico	(from https://jayshanmis.github.io/)
16:00:40	85939/85939	---M-Z	200	added ('OK')	text/css	etag:W/%225d3faa33-14fb3%22	https://jayshanmis.github.io/css/main.css	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/css/main.css	(from https://jayshanmis.github.io/)
16:00:41	19331/19331	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225d3faa33-4b83%22	https://jayshanmis.github.io/img/sprites/sprites.svg	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/img/sprites/sprites.svg	(from https://jayshanmis.github.io/)
16:00:41	603214/603214	---M--	200	added ('OK')	image/png	etag:%225d3faa33-9344e%22	https://jayshanmis.github.io/img/sections-background/BG1.png	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/img/sections-background/BG1.png	(from https://jayshanmis.github.io/)
16:00:41	8166/8166	---M--	200	added ('OK')	image/jpeg	etag:%225d3faa33-1fe6%22	https://jayshanmis.github.io/img/sprites/sigbps.jpg	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/img/sprites/sigbps.jpg	(from https://jayshanmis.github.io/)
16:00:41	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Aug%202019%2020:00:43%20GMT	https://jayshanmis.github.io/Best_Paper	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/Best_Paper	(from https://jayshanmis.github.io/)
16:00:41	7502/7502	---M-Z	200	added ('OK')	text/html	etag:W/%225d3faa37-1d4e%22	https://jayshanmis.github.io/Best_Paper/	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/Best_Paper/index.html	(from https://jayshanmis.github.io/)
16:00:42	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Aug%202019%2020:00:43%20GMT	https://jayshanmis.github.io/Gallery	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/Gallery	(from https://jayshanmis.github.io/)
16:00:42	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Aug%202019%2020:00:43%20GMT	https://jayshanmis.github.io/call-for-papers	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/call-for-papers	(from https://jayshanmis.github.io/)
16:00:42	6783/6783	---M-Z	200	added ('OK')	text/html	etag:W/%225d3faa37-1a7f%22	https://jayshanmis.github.io/Gallery/	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/Gallery/index.html	(from https://jayshanmis.github.io/)
16:00:42	12375/12375	---M-Z	200	added ('OK')	text/html	etag:W/%225d3faa37-3057%22	https://jayshanmis.github.io/call-for-papers/	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/call-for-papers/index.html	(from https://jayshanmis.github.io/)
16:00:42	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Aug%202019%2020:00:44%20GMT	https://jayshanmis.github.io/organizing_committees	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/organizing_committees	(from https://jayshanmis.github.io/)
16:00:42	14774/14774	---M-Z	200	added ('OK')	text/html	etag:W/%225d3faa37-39b6%22	https://jayshanmis.github.io/organizing_committees/	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/organizing_committees/index.html	(from https://jayshanmis.github.io/)
16:00:43	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Aug%202019%2020:00:44%20GMT	https://jayshanmis.github.io/program_committees	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/program_committees	(from https://jayshanmis.github.io/)
16:00:43	15913/15913	---M-Z	200	added ('OK')	text/html	etag:W/%225d3faa37-3e29%22	https://jayshanmis.github.io/program_committees/	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/program_committees/index.html	(from https://jayshanmis.github.io/)
16:00:43	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2017%20Aug%202019%2020:00:45%20GMT	https://jayshanmis.github.io/keynotes	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/keynotes	(from https://jayshanmis.github.io/)
16:00:43	7980/7980	---M-Z	200	added ('OK')	text/html	etag:W/%225d3faa37-1f2c%22	https://jayshanmis.github.io/keynotes/	C:/My%20Web%20Sites/SIGBPS/jayshanmis.github.io/keynotes/index.html	(from https://jayshanmis.github.io/)
